==================================================
3Dps Server
==================================================
Time:         2026-03-02 10:03:07.361268
Python:       3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
Working dir:  D:\projects\3Dps\backend
PID:          20252
Service mode: True
==================================================

  Open in browser: http://127.0.0.1:8000

INFO:     Will watch for changes in these directories: ['D:\\projects\\3Dps\\backend']
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [20252] using StatReload
INFO:     Started server process [4964]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/30 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/31: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/31 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/32: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/32 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/33: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/33 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/34: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/34 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/35: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/35 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/36: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/36 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/37: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/37 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/38: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/38 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/39: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/39 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/40: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/40 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/41: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/41 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/42: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/42 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/43: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/43 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/44: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/44 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/45: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/45 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/0: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/0 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/1: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/1 HTTP/1.1" 404 Not Found
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/ea8f8f0a/frames/2: Not Found
INFO:     127.0.0.1:63583 - "GET /api/projects/ea8f8f0a/frames/2 HTTP/1.1" 404 Not Found
